           r/a             r           psi            ff             q
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.350486863E+01 0.851180252E+00
 0.500000000E-02 0.291945553E-02 0.123878785E-04 0.350485059E+01 0.851352685E+00
 0.100000000E-01 0.583891106E-02 0.512117035E-04 0.350479409E+01 0.851869034E+00
 0.150000000E-01 0.875836658E-02 0.116389395E-03 0.350469936E+01 0.852657017E+00
 0.200000000E-01 0.116778221E-01 0.207838874E-03 0.350456674E+01 0.853607152E+00
 0.250000000E-01 0.145972776E-01 0.325478059E-03 0.350439661E+01 0.854589368E+00
 0.300000000E-01 0.175167332E-01 0.469224871E-03 0.350418945E+01 0.855475886E+00
 0.350000000E-01 0.204361887E-01 0.638997231E-03 0.350394581E+01 0.856170236E+00
 0.400000000E-01 0.233556442E-01 0.834713058E-03 0.350366630E+01 0.856642272E+00
 0.450000000E-01 0.262750998E-01 0.105629027E-02 0.350335160E+01 0.856969042E+00
 0.500000000E-01 0.291945553E-01 0.130364679E-02 0.350300245E+01 0.857378092E+00
 0.550000000E-01 0.321140108E-01 0.157670054E-02 0.350261965E+01 0.858078950E+00
 0.600000000E-01 0.350334663E-01 0.187536944E-02 0.350220406E+01 0.859017698E+00
 0.650000000E-01 0.379529219E-01 0.219957141E-02 0.350175658E+01 0.860096891E+00
 0.700000000E-01 0.408723774E-01 0.254922436E-02 0.350127815E+01 0.861311442E+00
 0.750000000E-01 0.437918329E-01 0.292424622E-02 0.350076974E+01 0.862654755E+00
 0.800000000E-01 0.467112884E-01 0.332455377E-02 0.350023237E+01 0.864082823E+00
 0.850000000E-01 0.496307440E-01 0.375003906E-02 0.349966712E+01 0.865601973E+00
 0.900000000E-01 0.525501995E-01 0.420057016E-02 0.349907512E+01 0.867244558E+00
 0.950000000E-01 0.554696550E-01 0.467601414E-02 0.349845750E+01 0.868996962E+00
 0.100000000E+00 0.583891106E-01 0.517623687E-02 0.349781542E+01 0.870825949E+00
 0.105000000E+00 0.613085661E-01 0.570109931E-02 0.349715003E+01 0.872728282E+00
 0.110000000E+00 0.642280216E-01 0.625046122E-02 0.349646251E+01 0.874744930E+00
 0.115000000E+00 0.671474771E-01 0.682417932E-02 0.349575401E+01 0.876873528E+00
 0.120000000E+00 0.700669327E-01 0.742209929E-02 0.349502568E+01 0.879058853E+00
 0.125000000E+00 0.729863882E-01 0.804406416E-02 0.349427868E+01 0.881359960E+00
 0.130000000E+00 0.759058437E-01 0.868991291E-02 0.349351413E+01 0.883753538E+00
 0.135000000E+00 0.788252993E-01 0.935947923E-02 0.349273314E+01 0.886224272E+00
 0.140000000E+00 0.817447548E-01 0.100525950E-01 0.349193682E+01 0.888799320E+00
 0.145000000E+00 0.846642103E-01 0.107690862E-01 0.349112621E+01 0.891448418E+00
 0.150000000E+00 0.875836658E-01 0.115087768E-01 0.349030235E+01 0.894193509E+00
 0.155000000E+00 0.905031214E-01 0.122714859E-01 0.348946623E+01 0.897048026E+00
 0.160000000E+00 0.934225769E-01 0.130570298E-01 0.348861882E+01 0.899975051E+00
 0.165000000E+00 0.963420324E-01 0.138652215E-01 0.348776105E+01 0.902983890E+00
 0.170000000E+00 0.992614880E-01 0.146958717E-01 0.348689380E+01 0.906093105E+00
 0.175000000E+00 0.102180943E+00 0.155487876E-01 0.348601794E+01 0.909287901E+00
 0.180000000E+00 0.105100399E+00 0.164237743E-01 0.348513426E+01 0.912574952E+00
 0.185000000E+00 0.108019855E+00 0.173206330E-01 0.348424353E+01 0.915942748E+00
 0.190000000E+00 0.110939310E+00 0.182391634E-01 0.348334648E+01 0.919406098E+00
 0.195000000E+00 0.113858766E+00 0.191791626E-01 0.348244381E+01 0.922958222E+00
 0.200000000E+00 0.116778221E+00 0.201404256E-01 0.348153615E+01 0.926596350E+00
 0.205000000E+00 0.119697677E+00 0.211227447E-01 0.348062413E+01 0.930329283E+00
 0.210000000E+00 0.122617132E+00 0.221259102E-01 0.347970831E+01 0.934150857E+00
 0.215000000E+00 0.125536588E+00 0.231497107E-01 0.347878921E+01 0.938057946E+00
 0.220000000E+00 0.128456043E+00 0.241939333E-01 0.347786737E+01 0.942064926E+00
 0.225000000E+00 0.131375499E+00 0.252583619E-01 0.347694321E+01 0.946155827E+00
 0.230000000E+00 0.134294954E+00 0.263427791E-01 0.347601719E+01 0.950341325E+00
 0.235000000E+00 0.137214410E+00 0.274469664E-01 0.347508971E+01 0.954627333E+00
 0.240000000E+00 0.140133865E+00 0.285707030E-01 0.347416113E+01 0.958994700E+00
 0.245000000E+00 0.143053321E+00 0.297137664E-01 0.347323179E+01 0.963464945E+00
 0.250000000E+00 0.145972776E+00 0.308759323E-01 0.347230204E+01 0.968030498E+00
 0.255000000E+00 0.148892232E+00 0.320569759E-01 0.347137214E+01 0.972689423E+00
 0.260000000E+00 0.151811687E+00 0.332566693E-01 0.347044239E+01 0.977452632E+00
